ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
473237;1090410-1244767;2019-03-11T01:00:00+01:00;2023-07-31T17:28:49+02:00;Gare Saint-Lazare;650561;6864169;71370;onstreetBus;75108;Paris 8e,
462854;1017132-1311884;2019-01-10T01:00:00+01:00;2023-07-31T17:28:49+02:00;Gilbert Bonnemaison;649328;6872936;72381;onstreetBus;93031;Épinay-sur-Seine,
42714;42714-69274;2014-12-29T16:31:51+01:00;2023-07-28T20:01:25+02:00;Collège Nicolas Tronchon;686466;6882093;69274;onstreetBus;77437;Saint-Soupplets,
52507;52507-69182;2014-12-29T16:31:51+01:00;2023-07-27T23:15:13+02:00;Briquetterie;701087;6878207;69182;onstreetBus;77231;Isles-les-Meldeuses,
52521;1226425-1226426;2014-12-29T01:00:00+01:00;2023-07-27T23:15:13+02:00;Chemin noir;701651;6880726;69243;onstreetBus;77257;Lizy-sur-Ourcq,
55754;1490127-1490128;2014-12-29T16:31:51+01:00;2023-07-27T12:10:01+02:00;ZAC Saint-Fiacre;680677;6813706;61604;onstreetBus;77014;Avon,
48949;1490125-1490126;2014-12-29T01:00:00+01:00;2023-07-27T12:08:30+02:00;T. Chabrand - A. Briand;641248;6875478;65538;onstreetBus;95176;Cormeilles-en-Parisis,
47686;1490121-1490122;2014-12-29T16:31:51+01:00;2023-07-27T12:06:31+02:00;S.E.N.I.A.;653607;6850291;69715;onstreetBus;94065;Rungis,
473757;1490115-71781;2019-03-19T01:00:00+01:00;2023-07-27T12:04:29+02:00;Saint-Ambroise;654278;6862641;71781;onstreetBus;75111;Paris 11e,
55293;1490103-1490104;2014-12-29T16:31:51+01:00;2023-07-27T11:58:51+02:00;Poste Bourron-Marlotte;679085;6804503;61333;onstreetBus;77048;Bourron-Marlotte,
49525;1490084-1490085;2014-12-29T16:31:51+01:00;2023-07-27T11:39:55+02:00;Mairie;709413;6849014;67644;onstreetBus;77002;Amillis,
55876;1490081-1490082;2014-12-29T16:31:51+01:00;2023-07-27T11:38:07+02:00;Douy / Kellermann;679485;6869911;68761;onstreetBus;77005;Annet-sur-Marne,
58616;1366260-1490076;2014-12-29T01:00:00+01:00;2023-07-27T11:35:04+02:00;Cluseret - Hôpital Foch;642605;6863596;70819;onstreetBus;92073;Suresnes,
42163;1489996-1016044;2014-12-29T01:00:00+01:00;2023-07-26T19:28:45+02:00;Terminal 1;666496;6879342;69212;onstreetBus;77282;Mauregard,
58567;1376488-1244767;2014-12-29T01:00:00+01:00;2023-07-26T19:15:16+02:00;Gare Saint-Lazare - Budapest;650664;6864174;71370;onstreetBus;75109;Paris 9e,
51369;51369-69185;2014-12-29T16:31:51+01:00;2023-07-26T18:43:07+02:00;Gambetta;687542;6878250;69185;onstreetBus;77309;Monthyon,
49753;49753-69080;2014-12-29T16:31:51+01:00;2023-07-26T18:39:30+02:00;Berthelot;673816;6875615;69080;onstreetBus;77294;Mitry-Mory,
49619;723940-723939;2014-12-29T01:00:00+01:00;2023-07-17T17:28:13+02:00;14 rue Jean Jaurès / Moimont;665203;6887917;69420;onstreetBus;95371;Marly-la-Ville,
414507;660270-723929;2015-03-09T01:00:00+01:00;2023-07-17T17:28:13+02:00;Gefco;664967;6887919;419679;onstreetBus;95371;Marly-la-Ville,
42322;880898-880899;2014-12-29T01:00:00+01:00;2023-07-17T17:28:13+02:00;Passerelle;664260;6878299;69172;onstreetBus;95527;Roissy-en-France,
470523;1072044-71840;2019-03-06T01:00:00+01:00;2023-07-17T11:56:27+02:00;Goncourt;653854;6863513;71840;onstreetBus;75110;Paris 10e,
47345;1309005-655065;2014-12-29T01:00:00+01:00;2023-07-17T11:45:12+02:00;Escadrille Normandie-Niemen - Stalingrad Tramway;658621;6868270;72517;onstreetBus;93008;Bobigny,
42840;1489247-1489248;2014-12-29T16:31:51+01:00;2023-07-13T18:40:37+02:00;Descartes - Malcolm X;660607;6882235;66704;onstreetBus;95280;Goussainville,
425721;834226-1489229;2017-01-13T01:00:00+01:00;2023-07-13T17:12:05+02:00;Lycée Polyvalent Jean Jaurès;645185;6852178;488232;onstreetBus;92019;Châtenay-Malabry,
