"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD","Month","Year","Weekday","is_holiday"
2019-12-18,800,850,305,"GARE DE L'EST",71359,"AMETHYSTE",46,"Dec",2019,"Wednesday",FALSE
2023-05-30,810,802,102,"BOURG-LA-REINE",70033,"FGT",370,"May",2023,"Tuesday",FALSE
2021-03-05,100,110,372,"JASMIN",73657,"AMETHYSTE",53,"Mar",2021,"Friday",FALSE
2023-05-04,100,110,486,"MABILLON",73639,"FGT",74,"May",2023,"Thursday",FALSE
2022-08-08,100,110,442,"KREML.BICETRE ",70452,"IMAGINE R",1205,"Aug",2022,"Monday",FALSE
2022-10-01,800,853,595,"NOINTEL MOURS",67227,"IMAGINE R",10,"Oct",2022,"Saturday",FALSE
2019-07-04,800,804,333,"GOUSSAINVILLE",66535,"AMETHYSTE",75,"Jul",2019,"Thursday",FALSE
2020-07-24,800,805,593,"NOGENT-LE-PERREUX",71609,"IMAGINE R",254,"Jul",2020,"Friday",FALSE
2019-05-10,800,805,968,"LES YVRIS-NOISY-LE-GRAND",73096,"NAVIGO JOUR",5,"May",2019,"Friday",FALSE
2020-08-19,810,802,392,"LA CROIX-DE-BERNY-FRESNES",69813,"AUTRE TITRE",5,"Aug",2020,"Wednesday",FALSE
2018-09-28,810,801,913,"VINCENNES",71651,"NAVIGO JOUR",15,"Sep",2018,"Friday",FALSE
2017-07-20,100,110,505,"MALAKOFF-RUE ETIENNE DOLET",70562,"AMETHYSTE",61,"Jul",2017,"Thursday",FALSE
2020-05-12,800,803,590,"PORTE MAILLOT",71379,"NAVIGO",13,"May",2020,"Tuesday",FALSE
2021-02-03,800,853,266,"ERMONT-EAUBONNE",65669,"FGT",421,"Feb",2021,"Wednesday",FALSE
2020-12-20,810,802,551,"MITRY-CLAYE",69065,"AMETHYSTE",12,"Dec",2020,"Sunday",FALSE
2018-04-13,100,110,123,"CAMBRONNE",71167,"TST",205,"Apr",2018,"Friday",FALSE
2020-06-02,100,110,494,"MAIRIE DES LILAS",71909,"NAVIGO",93,"Jun",2020,"Tuesday",FALSE
2019-03-06,100,110,251,"EGLISE D'AUTEUIL",71166,"IMAGINE R",74,"Mar",2019,"Wednesday",FALSE
2018-12-14,800,854,541,"MEULAN-HARDRICOURT",66321,"NAVIGO",258,"Dec",2018,"Friday",FALSE
2017-07-11,100,110,722,"RANELAGH",71243,"AMETHYSTE",133,"Jul",2017,"Tuesday",FALSE
